Date	Open	High	Low	Close	Volume	Stock Splits
01-04-2014	5.025000095	5.217856884	5.024857044	5.209856987	213388000	0
02-04-2014	5.223713875	5.300714016	5.118570805	5.184000015	241941000	0
03-04-2014	5.161857128	5.215713978	5.001429081	5.066999912	219835000	0
04-04-2014	5.077857018	5.085713863	4.798285961	4.818714142	349580000	0
07-04-2014	4.864428997	4.974143028	4.73014307	4.828570843	373513000	0
08-04-2014	4.857857227	5.011285782	4.834143162	4.98414278	257614000	0
09-04-2014	5.014713764	5.05571413	4.902143002	5.043285847	205114000	0
10-04-2014	5.06400013	5.106856823	4.771571159	4.781857014	248710000	0
11-04-2014	4.725714207	4.783143044	4.623000145	4.667285919	301462000	0
14-04-2014	4.755570889	4.785714149	4.650570869	4.736856937	179942000	0
15-04-2014	4.701142788	4.736713886	4.458570957	4.660999775	307993000	0
16-04-2014	4.729286194	4.770999908	4.619429111	4.734428883	161147000	0
17-04-2014	4.810856819	4.996142864	4.75	4.939143181	321160000	0
21-04-2014	4.989999771	4.991428852	4.832857132	4.978428841	478926000	0
22-04-2014	5.380428791	5.441143036	5.211856842	5.327143192	647024000	0
23-04-2014	5.181857109	5.25	5.04285717	5.050000191	402850000	0
24-04-2014	5.035714149	5.084286213	4.782856941	4.915286064	306390000	0
25-04-2014	4.820857048	4.877285957	4.599999905	4.601142883	330715000	0
28-04-2014	4.543570995	4.584286213	4.278571129	4.488714218	471233000	0
29-04-2014	4.460570812	4.637570858	4.45757103	4.569571018	231329000	0
30-04-2014	4.541714191	4.605713844	4.432143211	4.600571156	236187000	0
01-05-2014	4.629285812	4.938428879	4.614999771	4.807428837	370013000	0
02-05-2014	4.821570873	4.912857056	4.772142887	4.866428852	261947000	0
05-05-2014	4.82957077	4.935429096	4.801428795	4.919713974	203308000	0
06-05-2014	4.91028595	4.967429161	4.65199995	4.659856796	227227000	0
07-05-2014	4.65899992	4.683428764	4.502999783	4.579143047	256809000	0
08-05-2014	4.530857086	4.738856792	4.490857124	4.595142841	211687000	0
09-05-2014	4.601142883	4.713428974	4.533570766	4.693571091	179683000	0
12-05-2014	4.726571083	4.936142921	4.72171402	4.934999943	213955000	0
13-05-2014	4.920713902	5.06099987	4.867713928	4.959143162	208320000	0
14-05-2014	4.957857132	5.062857151	4.943714142	5.026856899	198919000	0
15-05-2014	5.012143135	5.025570869	4.848286152	4.916999817	233702000	0
16-05-2014	4.935286045	4.999570847	4.854856968	4.99828577	190722000	0
19-05-2014	4.95714283	5.245999813	4.950714111	5.20714283	253932000	0
20-05-2014	5.214428902	5.324285984	5.177143097	5.309570789	288281000	0
21-05-2014	5.358857155	5.581285954	5.333570957	5.579999924	399399000	0
22-05-2014	5.584000111	5.678571224	5.535714149	5.597143173	332227000	0
23-05-2014	5.594857216	5.749570847	5.566571236	5.747857094	221221000	0
27-05-2014	5.742856979	5.745999813	5.616428852	5.697286129	267351000	0
28-05-2014	5.674285889	5.788570881	5.621428967	5.731999874	198737000	0
29-05-2014	5.76285696	5.942714214	5.707857132	5.931428909	228445000	0
30-05-2014	5.931142807	6.024857044	5.880143166	5.968999863	292488000	0
02-06-2014	5.992570877	6.04157114	5.892857075	6.029428959	204806000	0
