,Strategy,Kelly,BuyAndHold
134,2.427823329050443,1.1310179067943098,1.36902528247538
135,2.3972598593861845,1.1278963973596168,1.3531598730319545
136,2.3948625995267983,1.1267685009622572,1.3122098962828606
137,2.3948625995267983,1.1267685009622572,1.3181597880918245
138,2.466714078823246,1.1312577704469855,1.3590258245481661
139,2.5518820301157743,1.1398618869082628,1.4059487517832607
140,2.5905660765986256,1.1430357271926248,1.4272615657082928
141,2.585842480641031,1.1429875739617208,1.4246591202338805
142,2.571609746268762,1.142917039819049,1.4168176546453453
143,2.5690381365224932,1.14177412277923,1.4108557200887408
144,2.5722742841683033,1.1406900307374008,1.4140437924846874
145,2.538148007999915,1.1398857132564748,1.3952837211837645
146,2.535609859991915,1.1387458275432183,1.3617288874594455
147,2.535609859991915,1.1387458275432183,1.3362095173743211
148,2.535609859991915,1.1387458275432183,1.26944040849428
149,2.535609859991915,1.1387458275432183,1.1881394662979945
150,2.535609859991915,1.1387458275432183,1.1327437625020542
151,2.535609859991915,1.1387458275432183,1.105228258058586
152,2.532043277685784,1.1375927657312437,1.1047788750920926
153,2.5197078397825154,1.1372760117766292,1.0993966877769543
154,2.5171881319427327,1.1361387357648525,1.0554077806372384
155,2.5171881319427327,1.1361387357648525,1.0327562590686516
156,2.4739461962674616,1.132181758722155,1.0160476398793887
157,2.4714722500711943,1.1310495769634328,0.9970482951567844
158,2.4566627189788206,1.1292112152924818,0.9920708407128158
159,2.454206056259842,1.1280820040771893,0.7644480485873799
160,2.454206056259842,1.1280820040771893,0.582304099816557
161,2.454206056259842,1.1280820040771893,0.5367744862827237
162,2.454206056259842,1.1280820040771893,0.49871571359026445
163,2.454206056259842,1.1280820040771893,0.5263177946588395
164,2.620005143163975,1.1462884346980016,0.5624006255479284
165,2.617385138020811,1.1451421462633036,0.6212149431124384
166,3.110311315389485,1.1981987922387707,0.7388281523878264
167,3.127350610324044,1.1998398227129687,0.7428756928164009
168,3.12422325971372,1.1986399828902559,0.6591350008630843
169,3.12422325971372,1.1986399828902559,0.6294993488034714
170,3.0941393407331907,1.1962468586972024,0.624067243128108
171,3.0910452013924576,1.1950506118385051,0.6139646222598212
172,3.1708998215802726,1.195772070386643,0.6304398598577164
173,3.1924303402521876,1.1973232318482505,0.6347205681543984
174,3.1892379099119355,1.1961259086164022,0.6015464168240133
175,3.1892379099119355,1.1961259086164022,0.5871840844810599
176,3.317673530326465,1.200899546993701,0.6114180940198217
177,3.330305833877869,1.2018842422830645,0.6137461166205624
178,3.326975528043991,1.2006823580407815,0.5824307152709651
179,3.326975528043991,1.2006823580407815,0.5724963115082498
180,3.2437157120799234,1.1963558807103114,0.5587416998700616
181,3.2404719963678437,1.1951595248296012,0.5247136586221883
182,3.2404719963678437,1.1951595248296012,0.5423023616900242
183,3.4430572782654685,1.2129426661894396,0.5767478969572487
184,3.4826936471023844,1.213568405477052,0.5833874008987079
185,3.442056167917124,1.2121840448846664,0.5765802005637921
186,3.438614111749207,1.2109718608397817,0.5554034421450277
187,3.438614111749207,1.2109718608397817,0.5292754185263524
188,3.438614111749207,1.2109718608397817,0.5037886673567531
189,3.438614111749207,1.2109718608397817,0.47941159929594074
190,3.438614111749207,1.2109718608397817,0.4529447387694597
191,3.438614111749207,1.2109718608397817,0.4639754628385761
192,3.5861983817765553,1.2230572677737028,0.484353123806183
193,3.5826121833947786,1.2218342105059292,0.4594193118995073
194,3.5826121833947786,1.2218342105059292,0.4262477292203932
195,3.5826121833947786,1.2218342105059292,0.4305437542940581
